synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,family,p_holm,reject_holm_0_05
0.01,exposure_minus_production,3.0,15.0,10000,-0.014111031181892676,0.02934012140631327,-0.016099725962695148,-0.014686156612447269,-0.013535905751338083,-48.09465845923981,0.0,-0.4809465845923981,0.2913,vs_3x,0.0,True
0.05,exposure_minus_production,3.0,1.0,10000,-0.0017219909299872884,0.030454681354761218,-0.0006647208354900319,-0.0023189639787351756,-0.0011250178812394012,-5.654273344475746,1.6080272119245278e-08,-0.05654273344475746,0.4912,vs_3x,1.9296326543094335e-07,True
0.05,exposure_minus_production,3.0,2.0,10000,-0.0005287338973764281,0.033446845445294915,-0.0002883853599408605,-0.0011843593844365814,0.0001268915896837251,-1.580818430967477,0.11395118864911748,-0.01580818430967477,0.4963,vs_3x,0.6837071318947049,False
0.05,exposure_minus_production,3.0,5.0,10000,-0.0011475029613677958,0.03975893013692981,-0.0008694228706665613,-0.0019268580123142265,-0.0003681479104213651,-2.8861515071351116,0.003908190973891069,-0.028861515071351113,0.4898,vs_3x,0.035173718765019624,True
0.05,exposure_minus_production,3.0,7.5,10000,-0.006948570789177437,0.043119536917445134,-0.0066096638901752755,-0.007793800496700874,-0.006103341081654,-16.11466932606647,1.0692267112702268e-57,-0.16114669326066466,0.4401,vs_3x,2.1384534225404535e-56,True
0.05,exposure_minus_production,3.0,10.0,10000,-0.014834419140824503,0.044451842563010754,-0.014608784790530072,-0.015705764720447615,-0.01396307356120139,-33.37188806020048,1.2949453702791093e-231,-0.33371888060200483,0.369,vs_3x,3.496352499753595e-230,True
0.05,exposure_minus_production,3.0,15.0,10000,-0.032726083239769624,0.04540861893641381,-0.03309929375029931,-0.03361618356195421,-0.031835982917585035,-72.07020166280837,0.0,-0.7207020166280838,0.237,vs_3x,0.0,True
0.1,exposure_minus_production,3.0,1.0,10000,-0.0017999365544540155,0.039199905602675875,-0.0015496263052077464,-0.002568333599416047,-0.001031539509491984,-4.591685941027235,4.450470637740888e-06,-0.04591685941027235,0.4832,vs_3x,4.8955177015149766e-05,True
0.1,exposure_minus_production,3.0,2.0,10000,-0.00012049698704619667,0.042910481194884234,0.00022726045693741148,-0.0009616287816543222,0.000720634807561929,-0.28081015101867995,0.7788618273148132,-0.0028081015101867994,0.5015,vs_3x,1.0,False
0.1,exposure_minus_production,3.0,5.0,10000,-0.0016387012282764993,0.048955645142673754,-0.0009226882250873425,-0.002598330402977178,-0.0006790720535758208,-3.3473182173388887,0.0008189850309175898,-0.033473182173388884,0.4929,vs_3x,0.008189850309175899,True
0.1,exposure_minus_production,3.0,7.5,10000,-0.008821788664528452,0.0494543949588427,-0.007993980532785966,-0.009791194339427984,-0.00785238298962892,-17.838229892146465,4.324228543576935e-70,-0.17838229892146462,0.4326,vs_3x,9.080879941511564e-69,True
0.1,exposure_minus_production,3.0,10.0,10000,-0.01708183411485162,0.04941492263760537,-0.01625702768709382,-0.018050466052811475,-0.016113202176891762,-34.56816929599346,1.8894267500087307e-247,-0.34568169295993456,0.3723,vs_3x,5.290394900024446e-246,True
0.1,exposure_minus_production,3.0,15.0,10000,-0.03199006456832507,0.046724790794963986,-0.031577880313765044,-0.032905964507912396,-0.031074164628737754,-68.46486420603294,0.0,-0.6846486420603294,0.2497,vs_3x,0.0,True
0.15,exposure_minus_production,3.0,1.0,10000,-0.003141152399750119,0.04521902379431745,-0.003215444835382053,-0.004027536275563572,-0.0022547685239366665,-6.946528554083601,3.977005157962804e-12,-0.069465285540836,0.4695,vs_3x,5.965507736944206e-11,True
0.15,exposure_minus_production,3.0,2.0,10000,-0.00034236409529141685,0.048799464805578695,-0.000282615246175566,-0.0012989318210508299,0.0006142036304679961,-0.7015734632652738,0.482961533729183,-0.0070157346326527375,0.4979,vs_3x,1.0,False
0.15,exposure_minus_production,3.0,5.0,10000,-0.0034365005593971127,0.05269820114171483,-0.003185006445749816,-0.004469491364082731,-0.0024035097547114945,-6.52109651742334,7.316757776569299e-11,-0.0652109651742334,0.4787,vs_3x,9.51178510954009e-10,True
0.15,exposure_minus_production,3.0,7.5,10000,-0.01058830139733521,0.05155675613854299,-0.010103847989674147,-0.011598917582645111,-0.009577685212025308,-20.53717531972414,7.743493616019556e-92,-0.20537175319724135,0.4266,vs_3x,1.8584384678446935e-90,True
0.15,exposure_minus_production,3.0,10.0,10000,-0.017717012464390218,0.0496057124927939,-0.017026687231296606,-0.018689384267502343,-0.016744640661278093,-35.715669776870804,4.745220784607904e-263,-0.3571566977687081,0.363,vs_3x,1.4235662353823713e-261,True
